TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T11071,C0000875,18/10/79,F,AHMEDABAD,9581.7,01/01/22,001037,1171.29
T4869,C0000388,25/01/61,F,MUMBAI,33654.08,01/01/22,003903,590.68
T3626,C0000291,30/09/69,F,LUCKNOW,9462.18,01/01/22,011608,961.84
T8679,C0000691,05/02/77,M,HYDERABAD,90560.16,01/01/22,020657,1908.16
T5146,C0000411,31/07/84,M,BANGALORE,35206.22,01/01/22,021054,1228.27
T6308,C0000504,19/02/74,F,DELHI,34257.56,01/01/22,024208,127.66
T1306,C0000108,23/04/82,M,DELHI,38416.03,01/01/22,025038,28212.02
T6587,C0000525,18/01/76,M,MUMBAI,8272.56,01/01/22,040116,1401.14
T1523,C0000127,27/04/87,M,PUNE,22566.45,01/01/22,050517,53334.86
T10989,C0000870,05/02/85,F,LUCKNOW,61571.78,01/01/22,073321,609.07
T7829,C0000623,03/09/68,M,AHMEDABAD,200707.84,01/01/22,083127,2166.48
T4275,C0000341,24/09/62,M,CHENNAI,81772.27,01/01/22,084826,689.2
T5102,C0000408,28/09/80,M,AHMEDABAD,51112.32,01/01/22,092933,886.57
T8269,C0000660,25/06/79,F,BANGALORE,9697.97,01/01/22,093048,243.1
T12239,C0000971,13/05/66,F,BANGALORE,487277.42,01/01/22,105831,7225.11
T8512,C0000679,14/12/69,F,KOLKATA,30759.84,01/01/22,133827,267.91
T5388,C0000431,22/02/86,M,LUCKNOW,26269.15,01/01/22,134422,168.22
T1617,C0000134,12/09/88,F,HYDERABAD,58407.39,01/01/22,165248,19.01
T12171,C0000965,20/06/85,M,DELHI,8758.51,01/01/22,190330,2262.15
T1673,C0000139,16/01/66,F,MUMBAI,4847.83,01/01/22,203224,1366.75
T10899,C0000863,04/11/00,M,JAIPUR,124036.28,02/01/22,001243,3740.55
T10120,C0000800,12/07/72,M,CHENNAI,5237.75,02/01/22,011939,714.42
T1105,C0000094,05/01/70,M,PUNE,56430.85,02/01/22,012428,1534.36
T10161,C0000804,27/07/71,F,LUCKNOW,10424.45,02/01/22,014347,1692.58
T8237,C0000659,14/08/80,M,LUCKNOW,7510.87,02/01/22,042047,23587.73
T8097,C0000646,14/09/85,F,MUMBAI,5002.05,02/01/22,054539,1334.99
T5884,C0000472,25/09/66,F,PUNE,7801.01,02/01/22,064542,770.54
T7203,C0000569,22/02/80,M,JAIPUR,40428.45,02/01/22,064813,807.12
T10267,C0000813,29/06/80,F,CHENNAI,4364.14,02/01/22,082317,11424.69
T9578,C0000759,01/07/82,M,PUNE,10149.68,02/01/22,090129,319.73
T6837,C0000542,29/06/85,M,DELHI,63548.94,02/01/22,113544,2588.07
T9001,C0000716,30/09/87,M,BANGALORE,7516.81,02/01/22,144118,1617.01
T4558,C0000364,30/12/63,M,PUNE,13118.09,02/01/22,160000,1733.44
T4105,C0000328,11/12/00,F,PUNE,77296.47,02/01/22,193848,1540.75
T4892,C0000390,02/07/78,M,MUMBAI,48211.78,02/01/22,200255,2947.11
T1094,C0000094,05/01/70,M,PUNE,56430.85,02/01/22,223625,782.94
T11368,C0000899,09/04/99,F,DELHI,25494.42,02/01/22,235624,442.71
T7210,C0000570,02/08/95,F,PUNE,49799.21,03/01/22,003754,267.73
T6830,C0000542,29/06/85,M,DELHI,63548.94,03/01/22,010022,1196.7
T7204,C0000569,22/02/80,M,JAIPUR,40428.45,03/01/22,010101,709.34
T8566,C0000683,07/02/87,F,DELHI,8175.6,03/01/22,014101,8060.18
T1003,C0000085,03/04/82,F,JAIPUR,15968.37,03/01/22,015455,1568.98
T12504,C0000993,27/02/76,M,JAIPUR,11372.78,03/01/22,024943,128.51
T9024,C0000718,10/01/95,M,KOLKATA,6139.9,03/01/22,031534,190.99
T5221,C0000417,12/05/86,F,CHENNAI,15988.34,03/01/22,033049,241.81
T3300,C0000266,29/08/64,F,AHMEDABAD,72736.04,03/01/22,044941,1184.99
T5829,C0000467,23/03/65,M,AHMEDABAD,6694.78,03/01/22,053611,3035.38
T9344,C0000741,02/06/80,F,KOLKATA,105540.99,03/01/22,062038,2693.6
T12223,C0000970,16/10/85,M,DELHI,71641.12,03/01/22,090230,504.24
T5669,C0000453,08/03/75,M,LUCKNOW,9200.48,03/01/22,123409,1368.72
T251,C0000022,04/07/85,M,LUCKNOW,14185.22,03/01/22,132844,6277.62
T7486,C0000594,20/10/84,F,HYDERABAD,2772.89,03/01/22,134731,8113.98
T7725,C0000615,05/05/85,M,AHMEDABAD,5693.81,03/01/22,135937,848.2
T9531,C0000754,28/08/67,M,HYDERABAD,38985.34,03/01/22,143539,1315.82
T5179,C0000413,22/12/62,F,MUMBAI,5720.57,03/01/22,151102,749.25
T10874,C0000861,29/10/65,M,JAIPUR,254172.78,03/01/22,154636,344.04
T11672,C0000920,27/08/90,F,PUNE,6333.49,03/01/22,185234,9047.21
T2694,C0000219,11/05/88,M,LUCKNOW,14411.24,03/01/22,193000,366.34
T5449,C0000436,26/11/61,F,PUNE,88650.41,03/01/22,211656,119.32
T7301,C0000580,08/08/63,M,AHMEDABAD,32828.23,03/01/22,212714,151.39
T6418,C0000512,11/08/93,M,DELHI,6087.55,03/01/22,215203,218.77
T8572,C0000684,23/01/83,F,HYDERABAD,27421.2,03/01/22,232837,537.49
T9410,C0000745,04/01/66,M,PUNE,67368.57,04/01/22,002236,1231.04
T10919,C0000865,10/05/82,F,LUCKNOW,3512.19,04/01/22,011219,565.8
T3586,C0000287,13/10/82,F,MUMBAI,5454.58,04/01/22,031132,211.44
T6513,C0000518,03/06/79,F,KOLKATA,170878.53,04/01/22,031758,141.72
T5255,C0000420,24/11/72,M,CHENNAI,8756.81,04/01/22,070449,151.65
T9835,C0000778,17/08/91,M,LUCKNOW,67656.81,04/01/22,083641,8731.6
T8807,C0000701,04/06/66,F,DELHI,45577.43,04/01/22,095452,3264.16
T5951,C0000477,16/01/63,M,MUMBAI,7065.42,04/01/22,101542,10417.73
T3006,C0000245,25/02/94,F,AHMEDABAD,18530.96,04/01/22,145544,2710.45
T11906,C0000942,14/08/63,F,LUCKNOW,29190.06,04/01/22,153023,189.51
T7279,C0000577,12/01/82,F,JAIPUR,16194.53,04/01/22,162554,304.1
T6886,C0000546,19/07/88,M,AHMEDABAD,3662.34,04/01/22,175038,129.76
T7090,C0000560,20/02/72,F,DELHI,22197.34,04/01/22,181111,223.95
T7627,C0000606,02/12/92,F,DELHI,3469.42,04/01/22,192114,51.06
T2771,C0000225,02/07/89,M,MUMBAI,8433.39,04/01/22,201444,1231.79
T3013,C0000245,25/02/94,F,AHMEDABAD,18530.96,04/01/22,205220,376.78
